image_path,class
Tomato___Tomato_Yellow_Leaf_Curl_Virus\5570ebc8-d307-41c8-8320-65b641bab13c___YLCV_GCREC 2251.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\1f51fffd-4e03-4aca-be68-d78e12538d50___Matt.S_CG 7451.JPG,Tomato___Septoria_leaf_spot
Corn_(maize)___healthy\0b03beed-0247-4d38-87ba-eb5b94415312___R.S_HL 8233 copy 2.jpg,Corn_(maize)___healthy
Tomato___Spider_mites Two-spotted_spider_mite\ae815daa-4243-42c9-95a1-a9764cfd8565___Com.G_SpM_FL 8693.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Late_blight\67b4c3a2-6d38-4db4-be3e-7655303ae13c___RS_Late.B 5051.JPG,Tomato___Late_blight
Tomato___Target_Spot\f7509e1d-28fb-40ce-9002-bfa0a6a53b67___Com.G_TgS_FL 8002.JPG,Tomato___Target_Spot
Tomato___Target_Spot\a1d8306e-51da-4e73-bb56-7233c6c08143___Com.G_TgS_FL 8170.JPG,Tomato___Target_Spot
Corn_(maize)___Common_rust_\RS_Rust 2518.JPG,Corn_(maize)___Common_rust_
Tomato___Late_blight\59c4daa6-f757-4c29-abcd-e1e30153c7e5___GHLB2 Leaf 9073.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\93481e98-0be9-4898-9ec6-2a9b01d83f6d___UF.GRC_YLCV_Lab 01838.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\408d4867-5fd8-4f1e-8c93-a711a438ef6e___Matt.S_CG 6780.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\b133856e-06a1-4268-8b99-8df8ec1018aa___UF.GRC_YLCV_Lab 01897.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c11a345a-e3af-45b1-9923-966bd22d445f___YLCV_NREC 1996.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\16f3a461-aafc-49e9-8973-39a52190985a___RS_HL 9803.JPG,Tomato___healthy
Apple___healthy\57e50846-b756-498f-a4b7-84571faed0ab___RS_HL 7541.JPG,Apple___healthy
Tomato___Late_blight\f972ee8f-5f07-49a0-974c-b919b0ad5b0b___RS_Late.B 4961.JPG,Tomato___Late_blight
Tomato___Late_blight\92abb825-be04-4ddd-a5d6-68b5c3900ba6___RS_Late.B 7128.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\9a8f2d86-efaa-4a9f-a0b2-20b39a09b1e9___YLCV_GCREC 5416.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\1d98a80e-f33b-44e5-99de-89fb990211f5___RS_HL 7834.JPG,Apple___healthy
Tomato___Spider_mites Two-spotted_spider_mite\221d4e4f-36f9-4dd8-8204-b2551aa1d96a___Com.G_SpM_FL 8994.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Spider_mites Two-spotted_spider_mite\d98dc8ce-cc9e-4a8c-9c8a-f5edee9493b1___Com.G_SpM_FL 1208.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Late_blight\659fd21c-cac6-4126-972d-f6f7b28f25e2___GHLB2 Leaf 9068.JPG,Tomato___Late_blight
Tomato___Spider_mites Two-spotted_spider_mite\ab555ffb-819e-40fa-b21c-d5a6bde16100___Com.G_SpM_FL 9609.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Common_rust_\RS_Rust 1805.JPG,Corn_(maize)___Common_rust_
Tomato___Tomato_Yellow_Leaf_Curl_Virus\36543f6a-1f3a-4371-8b0b-f60995a966a4___UF.GRC_YLCV_Lab 01266.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\cb64c581-2fe4-423c-b510-1574e3a897bb___RS_GLSp 4639.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f8c27546-86a9-46ac-ab93-51863759218e___YLCV_NREC 2049.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\4ce6844e-2a92-47aa-9115-0eb1a9a0611c___GH_HL Leaf 464.1.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\8b8edbc8-52cf-456f-881c-6c4b98f138c4___YLCV_GCREC 2022.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 2608.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Common_rust_\RS_Rust 1870.JPG,Corn_(maize)___Common_rust_
Tomato___Target_Spot\8775dff7-94da-4c38-91f0-d28ad12b1610___Com.G_TgS_FL 9971.JPG,Tomato___Target_Spot
Potato___Early_blight\2b1718b3-c951-4f24-b6ec-4eb7df77c913___RS_Early.B 7475.JPG,Potato___Early_blight
Corn_(maize)___Northern_Leaf_Blight\1eb43526-92fa-4fbd-b09c-899511d7a79c___RS_NLB 4039.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Late_blight\91b7baba-9b15-4f24-9db7-86ca95ac884c___GHLB2 Leaf 9087.JPG,Tomato___Late_blight
Tomato___Late_blight\ecb763a0-f905-48f2-a142-afa120068c82___GHLB2ES Leaf 119.2.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4b2f69cb-a22c-4b02-924c-1b2f7da09f9e___YLCV_GCREC 2633.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG,Tomato___healthy
Apple___Black_rot\2b16890e-753f-4ee8-a78e-d0a7fdf8d91a___JR_FrgE.S 2838.JPG,Apple___Black_rot
Tomato___Septoria_leaf_spot\571f27fb-8d57-4d5e-8963-928e9960b18b___Keller.St_CG 1833.JPG,Tomato___Septoria_leaf_spot
Tomato___Leaf_Mold\676a35ff-f0b2-43c8-bb58-ab531c46516a___Crnl_L.Mold 9005.JPG,Tomato___Leaf_Mold
Corn_(maize)___Common_rust_\RS_Rust 2166.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Common_rust_\RS_Rust 2720.JPG,Corn_(maize)___Common_rust_
Potato___Early_blight\db4dbc48-209d-4615-95cd-1d7ee7f1d7e0___RS_Early.B 7545.JPG,Potato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\2c8b2d0d-2948-463d-ad63-e0805e1e2c9d___YLCV_GCREC 5443.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\03b4571c-b1eb-4e2a-b372-307046913f50___RS_Erly.B 7548.JPG,Tomato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\f4329273-758b-4d62-bbc1-20a429b4b892___UF.GRC_YLCV_Lab 09420.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ff043970-b5bc-4738-a97b-0d9443a60eaa___YLCV_NREC 2622.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\c5f61d94-be12-4995-99e0-551384b7df17___RS_HL 7860.JPG,Apple___healthy
Tomato___Early_blight\25b96058-36c9-4213-bb16-088e76cb30b1___RS_Erly.B 9417.JPG,Tomato___Early_blight
Potato___Late_blight\f87fce12-78df-4a8c-92ff-8c0b83cc82b9___RS_LB 3025.JPG,Potato___Late_blight
Apple___Cedar_apple_rust\a0277f94-ece7-4f93-8b26-adea371f0a32___FREC_C.Rust 9917.JPG,Apple___Cedar_apple_rust
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0202eabf-19ef-4656-8ede-5d0e96906304___YLCV_GCREC 2604.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\f3ba91af-7c1d-48a6-806b-1ea9235dc39d___UF.GRC_BS_Lab Leaf 8794.JPG,Tomato___Bacterial_spot
Tomato___Septoria_leaf_spot\cf72fe62-8411-4b4e-b4df-98c6683c00ca___Keller.St_CG 1816.JPG,Tomato___Septoria_leaf_spot
Potato___Early_blight\66a98640-59d3-4c9b-9853-773c78ac6375___RS_Early.B 6784.JPG,Potato___Early_blight
Tomato___healthy\f0336650-0021-43e9-9e8c-d921c5532116___RS_HL 0249.JPG,Tomato___healthy
Tomato___Septoria_leaf_spot\2b400c69-36a9-4b78-90a0-3702cd38c896___Matt.S_CG 6876.JPG,Tomato___Septoria_leaf_spot
Corn_(maize)___Northern_Leaf_Blight\ebc76210-8a22-44bc-8ef4-ff8c12357398___RS_NLB 4101.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Septoria_leaf_spot\bfea5a30-8ece-4c04-b437-ca17fe9fab95___JR_Sept.L.S 2481.JPG,Tomato___Septoria_leaf_spot
Corn_(maize)___healthy\4511c343-1fb9-450f-9991-7fc433034f7a___R.S_HL 7996 copy.jpg,Corn_(maize)___healthy
Potato___Early_blight\e3007682-ad4b-4a62-b64d-ebb0c4537077___RS_Early.B 7772.JPG,Potato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\6b16dfb4-ff6a-4282-b782-384292055321___YLCV_GCREC 2912.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\041e4a13-afde-4475-9d89-93a68dfa3ceb___YLCV_NREC 0112.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\19ee147b-41b2-424b-b532-00ff31316109___Com.G_SpM_FL 1708.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Potato___Late_blight\e4d454e4-c1e4-4597-8e76-77a93465b41d___RS_LB 2868.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0320cf63-ce16-4c8d-bef4-7fda66f36741___UF.GRC_YLCV_Lab 02599.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\a7a86478-da84-4f33-9f55-b28631095ab2___Matt.S_CG 6531.JPG,Tomato___Septoria_leaf_spot
Tomato___Spider_mites Two-spotted_spider_mite\0c817d69-a13f-47d9-be7b-a17eea45774d___Com.G_SpM_FL 8613.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Common_rust_\RS_Rust 1570.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___Northern_Leaf_Blight\78a41efa-70c1-44d3-bf24-d8f873e863b3___RS_NLB 3676.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Bacterial_spot\6ab6800f-13bf-4956-858c-f25c1d43fd9a___GCREC_Bact.Sp 3419.JPG,Tomato___Bacterial_spot
Corn_(maize)___Northern_Leaf_Blight\493500a1-d3d1-4cf9-b354-78540b3e3044___RS_NLB 3689.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Spider_mites Two-spotted_spider_mite\ba369b28-d6f8-4c1f-a177-ff05ca0f9ac1___Com.G_SpM_FL 1704.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Northern_Leaf_Blight\c7d6c84a-13a2-447d-a8db-58054f9bae0e___RS_NLB 3962.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Leaf_Mold\b193984f-18ce-4d09-af21-0b70e44d704e___Crnl_L.Mold 8705.JPG,Tomato___Leaf_Mold
Potato___Early_blight\69a20537-e5fd-4f1e-8800-ef9aa4fa4766___RS_Early.B 8111.JPG,Potato___Early_blight
Corn_(maize)___Northern_Leaf_Blight\dac28004-9243-45ab-a3ff-03edff04e8d1___RS_NLB 3613.JPG,Corn_(maize)___Northern_Leaf_Blight
Potato___Late_blight\891ddb02-a289-4d8e-8380-7568686b7a08___RS_LB 3193.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\2f2d8352-ad80-4799-8082-f496604c2716___UF.GRC_YLCV_Lab 01901.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Apple_scab\18ea82fd-4e16-416f-8ad9-54e0f6601693___FREC_Scab 3127.JPG,Apple___Apple_scab
Tomato___Early_blight\a0db48a5-bbb6-4374-ad9f-8132e33280f5___RS_Erly.B 7791.JPG,Tomato___Early_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3c05bb5b-6671-49aa-88b7-246f2bfd9996___YLCV_GCREC 2846.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\79fa18a3-cf77-4211-b105-893ea4eb7498___UF.GRC_YLCV_Lab 02978.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ccf9ab6a-50b6-47c0-8020-0217f93416ac___UF.GRC_YLCV_Lab 09568.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 2402.JPG,Corn_(maize)___Common_rust_
Tomato___healthy\f0cc7028-bf33-4ed4-8df0-7f1e80f42d15___GH_HL Leaf 266.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e97ef3b1-710a-4248-a660-30a8a3e4e3c4___YLCV_GCREC 2078.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\b0920815-b348-4737-b7e4-ca8ca72a1501___UF.GRC_YLCV_Lab 02984.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\7e25ef0a-7cec-45c2-bc3f-2429b82cafd6___YLCV_GCREC 1896.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\8eebd2c4-96f3-422f-aa65-e14f6a354ea5___UF.GRC_YLCV_Lab 01884.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight\591ec786-c9bb-4054-be3a-055f0dbecbd2___RS_Erly.B 7416.JPG,Tomato___Early_blight
Tomato___Bacterial_spot\74dee6e6-3d6b-4906-9f8a-d148e8441eee___GCREC_Bact.Sp 3121.JPG,Tomato___Bacterial_spot
Tomato___healthy\74463e4f-524e-4dad-a936-b167d6846bcf___RS_HL 9971.JPG,Tomato___healthy
Tomato___Late_blight\2e8f61d8-0d5d-46e3-a597-ede96855a4fe___RS_Late.B 5352.JPG,Tomato___Late_blight
Tomato___Bacterial_spot\54d57dd6-1ad0-4c53-ad9a-4f5ea8101807___UF.GRC_BS_Lab Leaf 9141.JPG,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4c4262ec-08e3-4bba-8dd4-9855476f92a1___YLCV_GCREC 2120.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot\997dc7c6-4de8-40d8-8259-d22bc70d2f48___Com.G_TgS_FL 8153.JPG,Tomato___Target_Spot
Corn_(maize)___Common_rust_\RS_Rust 2718.JPG,Corn_(maize)___Common_rust_
Tomato___Septoria_leaf_spot\3a1f89c1-9f3b-47ec-aafc-7f2ba2558d6d___Matt.S_CG 6856.JPG,Tomato___Septoria_leaf_spot
Potato___Late_blight\49835c13-105d-4afb-95dd-b4ee15f3d287___RS_LB 4099.JPG,Potato___Late_blight
Tomato___Septoria_leaf_spot\fffee500-8469-4c0f-a17d-d95c5516b446___Matt.S_CG 6210.JPG,Tomato___Septoria_leaf_spot
Tomato___Early_blight\6797ee0c-20a8-4a39-ab57-f65eb9c57885___RS_Erly.B 7647.JPG,Tomato___Early_blight
Corn_(maize)___Northern_Leaf_Blight\95eedb2c-7ebc-438c-82ad-99d2009e7f6a___RS_NLB 4077.JPG,Corn_(maize)___Northern_Leaf_Blight
Tomato___Bacterial_spot\a670a03a-d0f1-4d5c-817b-056746be8bd2___UF.GRC_BS_Lab Leaf 0279.JPG,Tomato___Bacterial_spot
Tomato___healthy\973c9431-f521-462d-82fa-442196087ca8___GH_HL Leaf 204.1.JPG,Tomato___healthy
Potato___Late_blight\a30baff1-96fb-4df5-9511-e131359b5fd8___RS_LB 4464.JPG,Potato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\c1f0842d-52b9-4abd-aac1-2986510a2c8e___YLCV_GCREC 2570.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\ef8a4469-0126-4d5d-875a-ce5e88f6eba7___Matt.S_CG 7739.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\69077745-ef0b-4a8a-9f8a-5fc046a2b9d0___YLCV_NREC 2433.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 1887.JPG,Corn_(maize)___Common_rust_
Potato___healthy\3c0d6888-c7e1-4cf8-9c25-9a0b8c62ba72___RS_HL 1780.JPG,Potato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e1a2aec6-13c2-42c3-9725-458564cf14eb___YLCV_GCREC 2839.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\10239cd2-1e83-45d0-b40d-816316d705d4___YLCV_GCREC 2393.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\51d765e5-9c9d-40b9-8a71-32cf12ac2262___GCREC_Bact.Sp 3559.JPG,Tomato___Bacterial_spot
Corn_(maize)___healthy\38573cac-324c-457a-8c88-2810ebb0f99a___R.S_HL 8316 copy 3.jpg,Corn_(maize)___healthy
Tomato___Septoria_leaf_spot\13cc7d11-275b-44c2-977f-cef792d827ed___Keller.St_CG 2000.JPG,Tomato___Septoria_leaf_spot
Corn_(maize)___Common_rust_\RS_Rust 2673.JPG,Corn_(maize)___Common_rust_
Corn_(maize)___healthy\6b6bcf84-35e5-417a-95cb-f1b7d227eab2___R.S_HL 8189 copy 3.jpg,Corn_(maize)___healthy
Tomato___Bacterial_spot\e4d01d54-df44-40ab-a6f9-74c9e0834998___GCREC_Bact.Sp 5950.JPG,Tomato___Bacterial_spot
Tomato___Bacterial_spot\3a28881d-eede-4274-b158-c54ebd1c7164___GCREC_Bact.Sp 3136.JPG,Tomato___Bacterial_spot
Tomato___Spider_mites Two-spotted_spider_mite\fe7f0ec0-35b0-49b0-836e-1fa902ee7723___Com.G_SpM_FL 8739.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot\346e5b39-b83e-4b5f-a02b-bc01fc230842___RS_GLSp 4311.JPG,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot
Tomato___Late_blight\6f6d2197-8756-4771-ac32-61bd0bc31aa0___GHLB2 Leaf 9074.JPG,Tomato___Late_blight
Potato___Late_blight\30777af4-cbb4-44bf-946b-f1c5d17704ee___RS_LB 4822.JPG,Potato___Late_blight
Tomato___Bacterial_spot\49b9840f-d9f1-42cc-92ad-96bbbd8bf9b2___GCREC_Bact.Sp 6379.JPG,Tomato___Bacterial_spot
Tomato___Septoria_leaf_spot\a3938779-9d9f-4e45-a397-7b5abd13f6ba___JR_Sept.L.S 2700.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e72d086f-930b-4523-9ce9-213db17221aa___YLCV_NREC 2964.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\918886d9-62bf-46a4-97f9-0afe76641b25___GH_HL Leaf 365.1.JPG,Tomato___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\a7e96256-151e-4674-8da4-30214e8c6195___YLCV_GCREC 2080.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\64031d02-1e3e-4f59-a5d6-108050ebe306___UF.GRC_YLCV_Lab 01568.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___Common_rust_\RS_Rust 1638.JPG,Corn_(maize)___Common_rust_
Tomato___healthy\16fd1407-644b-42f1-a40a-6cacd9bc0258___RS_HL 9705.JPG,Tomato___healthy
Tomato___Septoria_leaf_spot\f8a1deca-75ae-41cf-bd05-1eee4a183236___Keller.St_CG 1779.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ff256e75-81da-44c3-93dd-e87711083454___UF.GRC_YLCV_Lab 03146.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\bc462a9d-4df2-4675-bce7-fb226d8f6d35___Matt.S_CG 1401.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\3d6ab6a7-de7d-4450-a73c-4310a75f15f6___UF.GRC_YLCV_Lab 02938.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Early_blight\d2dcbc63-47c6-4a67-914b-cb1e117b58b0___RS_Early.B 7159.JPG,Potato___Early_blight
Tomato___Septoria_leaf_spot\b09cc616-1774-4fd0-8d00-c4967daa0e71___JR_Sept.L.S 2698.JPG,Tomato___Septoria_leaf_spot
Potato___Late_blight\a9c8a264-33be-48f1-bd1d-2cc6c9c8e247___RS_LB 4888.JPG,Potato___Late_blight
Tomato___healthy\24fe1921-3196-4125-8f96-d68edef32487___RS_HL 0109.JPG,Tomato___healthy
Tomato___Late_blight\88e11fb2-9752-4c08-97d6-7392fbcf8a95___RS_Late.B 6176.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\efc157be-50fe-4813-8ec3-6a652f11bb6f___UF.GRC_YLCV_Lab 09484.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Early_blight\9badd590-45ed-4636-9590-b12342ea8a84___RS_Early.B 6944.JPG,Potato___Early_blight
Potato___Early_blight\001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B 8178.JPG,Potato___Early_blight
Tomato___Septoria_leaf_spot\4cf0ee3d-a8b5-47f5-be25-e578d60b6cfd___Matt.S_CG 7373.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\7774d595-bce2-4ec0-8a10-85ba887029fa___YLCV_NREC 2390.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot\318530ca-975c-482f-b3cf-bdf6435f09d1___JR_Sept.L.S 8510.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\df173175-e344-4c0c-9586-e0809473a594___YLCV_GCREC 2878.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\e0acae25-3f4b-403e-8365-9f81f1601510___YLCV_NREC 2495.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy\e73a233d-84c8-407a-aefa-8a3865450351___GH_HL Leaf 222.JPG,Tomato___healthy
Apple___Black_rot\ded93fa6-0c14-47ea-aa92-806a64db7816___JR_FrgE.S 2795.JPG,Apple___Black_rot
Apple___healthy\4da8c9ec-92d1-4e33-87b2-de2906f88a46___RS_HL 8201.JPG,Apple___healthy
Tomato___Septoria_leaf_spot\9472f447-6fe5-40f2-a25a-847323e8ca6c___JR_Sept.L.S 2624.JPG,Tomato___Septoria_leaf_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\0b458337-20be-4c8d-ae8d-184cd60ee8c1___UF.GRC_YLCV_Lab 01311.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot\f1164b16-0b05-413e-be8d-79d85901e34b___GCREC_Bact.Sp 3443.JPG,Tomato___Bacterial_spot
Apple___healthy\bc0818a9-ad35-4d9d-93c7-20a9901c0781___RS_HL 8098.JPG,Apple___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus\a6b1e8c1-ee33-4aad-b176-59eaf40df011___UF.GRC_YLCV_Lab 09622.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite\0a2b122a-0f23-4c92-8b7a-21b274dffbe5___Com.G_SpM_FL 9350.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Apple___healthy\6d92d301-d0e2-4c46-8715-afa326a6d5d9___RS_HL 8193.JPG,Apple___healthy
Tomato___Late_blight\c3fc678f-f7ad-4b41-b1f4-5abc1f5461b5___RS_Late.B 7142.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\4f674d39-511e-4d69-93e7-3bce11b27e45___YLCV_GCREC 5113.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\9309c2d7-07ea-4dfb-a79e-2e9128d38a75___GHLB2 Leaf 107.3.JPG,Tomato___Late_blight
Corn_(maize)___healthy\370ef13d-e998-4e6f-a179-5f4a3bf0f054___R.S_HL 0635 copy 3.jpg,Corn_(maize)___healthy
Tomato___Spider_mites Two-spotted_spider_mite\84b6b69d-ee36-474a-a2aa-dbec01a5c009___Com.G_SpM_FL 1493.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Apple___Apple_scab\6a61688a-c972-4f8f-b3b7-46fd00264240___FREC_Scab 3271.JPG,Apple___Apple_scab
Potato___Early_blight\af79e762-c2f7-4e37-926b-ce27dbc52fc4___RS_Early.B 6858.JPG,Potato___Early_blight
Tomato___Late_blight\f66ada20-cd47-4393-b7c6-87f1f39fd741___GHLB_PS Leaf 41.1 Day 18.jpg,Tomato___Late_blight
Tomato___Bacterial_spot\517dac9f-61a6-4e5a-928e-b0009c2d6d47___GCREC_Bact.Sp 3516.JPG,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus\9bfe3055-ad97-450a-826b-9c4fa0541931___YLCV_NREC 2683.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight\75d24a6f-1c28-4e42-a7e7-8f8c496c22ce___GHLB2 Leaf 8594.JPG,Tomato___Late_blight
Tomato___Late_blight\c1a8547c-0345-490b-840b-124dbf54fbd4___GHLB2 Leaf 8541.JPG,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus\20e9e887-1594-474b-9104-e312212f8c03___YLCV_NREC 2266.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus\bba326f3-9c2a-4790-9f42-a4f1e05366eb___YLCV_GCREC 2355.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy\03cb0cf0-04cf-4549-a2b8-44ed75b2e56c___RS_HL 7460.JPG,Apple___healthy
Tomato___Spider_mites Two-spotted_spider_mite\329e5281-32c7-486b-86bc-1333ace123d0___Com.G_SpM_FL 1327.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Spider_mites Two-spotted_spider_mite\bd02e7b2-383c-4d04-8361-084cec0dc177___Com.G_SpM_FL 8574.JPG,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus\ffa1bb96-6feb-4a8e-9de5-25820d98b4dd___YLCV_GCREC 5175.JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn_(maize)___healthy\42488140-6d00-4240-9a9a-b9fddedbefdd___R.S_HL 8277 copy.jpg,Corn_(maize)___healthy
